keys,pt_br,en
entrar,entrar,enter
bom,bom,good
inimigo,inimigo,enemy
Campos,Campos,Fields
Floresta,Floresta,Forest
Labirinto,Labirinto,Labyrinth
Alho,Alho,Garlic
EsferaAzul,EsferaAzul,BlueOrb
EsferaVermelha,EsferaVermelha,RedOrb
testemensagem,sbfasuoPORTUGUESasidhasidnaida,aindaindaidnasENGLISHiasndiana
ExplosaoFogo,ExplosaoFogo,FireExplosion
ExplosaoGelo,ExplosaoGelo,IceExplosion
Fogo,Fogo,Fire
Gelo,Gelo,Ice
Raio,Raio,Lightning
inimigo.nome,inimigo.nome,inimigo.name
inimigo.posicaoX,inimigo.posicaoX,inimigo.positionX
inimigo.posicaoY,inimigo.posicaoY,inimigo.positionY
inimigo.vida,inimigo.vida,inimigo.health
Comentários,Comentários,Comentários
Escopos,Escopos,Escopos
Funções,Funções,Funções
Listas,Listas,Listas
Nulo,Nulo,Nulo
Operadores,Operadores,Operadores
TiposDeDado,TiposDeDado,TiposDeDado
Utilidades,Utilidades,Utilidades
Variáveis,Variáveis,Variáveis
enquanto,enquanto,enquanto
se,se,se
aleatorio,aleatorio,aleatorio
arena,arena,arena
atacar,atacar,atacar
cinto.usarItem,cinto.usarItem,cinto.usarItem
comprar,comprar,comprar
escanearArea,escanearArea,escanearArea
escapar,escapar,escapar
escreva,escreva,escreva
inimigoMaisProximo,inimigoMaisProximo,inimigoMaisProximo
max,max,max
min,min,min
mochila.usarItem,mochila.usarItem,mochila.usarItem
mover,mover,mover
podeMover,podeMover,podeMover
posicaoX,posicaoX,posicaoX
posicaoY,posicaoY,posicaoY
tamanho,tamanho,tamanho
tempo,tempo,tempo
tesouroX,tesouroX,tesouroX
tesouroY,tesouroY,tesouroY
trunca,trunca,trunca
venderTudo,venderTudo,venderTudo
vidaAtual,vidaAtual,vidaAtual
Créditos,Créditos,Créditos
Início,Início,Início
Itens,Itens,Itens
Partidas,Partidas,Partidas
Sensores,Sensores,Sensores
Tesouros,Tesouros,Tesouros
Esqueleto,Esqueleto,Skeleton
Fantasma,Fantasma,Ghost
Goblin,Goblin,Goblin
Lobisomem,Lobisomem,Werewolf
Orc,Orc,Orc
SlimeDeFogo,SlimeDeFogo,FireSlime
SlimeDeGelo,SlimeDeGelo,IceSlime
Vampiro,Vampiro,Vampire
Couro,Couro,Couro
Cristal,Cristal,Cristal
Diamante,Diamante,Diamante
Esmeralda,Esmeralda,Esmeralda
Magma,Magma,Magma
Moeda,Moeda,Moeda
Osso,Osso,Osso
Plasma,Plasma,Plasma
Safira,Safira,Safira
Sangue,Sangue,Sangue
